,name,hand,height,rang,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt
244,juan carlos ferrero,R,183.0,50.0,16.0,4.0,0.35896156981743266,0.17252443634796572,0.2441490800865801,0.5061773296148295,0.6993446932968992,0.6666660492031662,76.25,0.5934717131634426
247,ivan ljubicic,R,193.0,30.0,9.0,3.0,0.3046120913238847,0.09440836940836941,0.4490740740740741,0.67996632996633,0.7685185185185185,0.581884446798012,105.0,0.6284222479187592
249,roger federer,R,185.0,3.0,80.0,69.0,0.39556228484166894,0.2811044951517322,0.4627925199800199,0.5700843253968255,0.9173123001434895,0.6287084849223747,37.8625,0.7205258063870665
262,juan ignacio chela,R,190.0,29.0,17.0,5.0,0.3913160414945172,0.2680893030791611,0.3807762498938969,0.5272864850400818,0.648756051033091,0.6529153897156466,87.94117647058823,0.57594489717947
269,olivier rochus,R,168.0,67.0,32.0,9.0,0.3431548151440267,0.17859746430470114,0.42045454545454547,0.509422414799253,0.7326716737102766,0.606695265939505,60.5,0.610585841634805
277,xavier malisse,R,185.0,49.0,45.0,21.0,0.35930720436034497,0.20449947244524802,0.38348606940970204,0.5116225749559082,0.789147556472118,0.5774588370588734,92.08888888888889,0.642929148241089
279,mikhail youzhny,R,183.0,35.0,56.0,34.0,0.3951447556564172,0.2672827012506634,0.4164921480952829,0.5775575031877553,0.8044757825378955,0.6195629130061541,60.82142857142857,0.6484925554434514
280,andy roddick,R,188.0,14.0,39.0,23.0,0.34523276460384855,0.1884699371571246,0.3462717481948251,0.5306847710693864,0.830343719879919,0.6587235478538552,67.23076923076923,0.6775302427654923
283,michael russell,R,173.0,99.0,19.0,8.0,0.36658534517166796,0.23814156603630288,0.4206663988519944,0.4818181818181818,0.7105511885775043,0.63389598600945,53.94736842105263,0.5953832696714432
285,tommy robredo,R,180.0,51.0,12.0,5.0,0.3374022544583013,0.18236809486809488,0.6046626984126985,0.7611111111111111,0.7593921672869041,0.6041213359204342,45.916666666666664,0.6347174629115665
